month_,year_,total_quant
01,2009,17
02,2009,7
03,2009,9
04,2009,22
05,2009,8
06,2009,16
07,2009,19
08,2009,20
09,2009,5
10,2009,20
11,2009,19
12,2009,18
01,2010,10
02,2010,21
03,2010,5
04,2010,14
05,2010,4
06,2010,13
07,2010,24
08,2010,7
09,2010,14
10,2010,16
11,2010,24
12,2010,5
01,2011,17
02,2011,24
03,2011,18
04,2011,6
05,2011,25
06,2011,5
07,2011,12
08,2011,3
09,2011,18
10,2011,18
11,2011,2
12,2011,10
01,2012,12
02,2012,28
03,2012,4
04,2012,8
05,2012,20
06,2012,21
07,2012,20
08,2012,26
09,2012,6
10,2012,4
11,2012,9
12,2012,6
01,2013,7
02,2013,17
03,2013,6
04,2013,10
05,2013,11
06,2013,22
07,2013,8
08,2013,17
09,2013,23
10,2013,18
11,2013,7
12,2013,30
